frame.encap_type,frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52081,80,0,1705830295,0,0,0,0,0,1,0,0,0,0,28416,0.000039000
1,305,eth:ethertype:ip:tcp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52081,80,239,1705830295,0,0,0,0,0,1,1,0,0,0,28416,0.000193000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52080,0,2821528214,0,0,0,0,0,1,0,0,0,0,30208,0.005495000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52083,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52082,0,3325686920,0,0,0,0,0,1,0,0,1,0,28960,0.005645000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52082,80,0,1331410633,0,0,0,0,0,1,0,0,0,0,28416,0.000023000
1,305,eth:ethertype:ip:tcp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52082,80,239,1331410633,0,0,0,0,0,1,1,0,0,0,28416,0.000146000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52084,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52081,0,3953161256,0,0,0,0,0,1,0,0,0,0,17408,0.005451000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52083,0,312588863,0,0,0,0,0,1,0,0,1,0,15928,0.005877000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52083,80,0,1803878863,0,0,0,0,0,1,0,0,0,0,28416,0.000043000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52082,0,3325687159,0,0,0,0,0,1,0,0,0,0,30208,0.005317000
1,305,eth:ethertype:ip:tcp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52083,80,239,1803878863,0,0,0,0,0,1,1,0,0,0,28416,0.000206000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52085,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,56,6,119.162.193.187,154.49.2.126,80,52084,0,3558274514,0,0,0,0,0,1,0,0,1,0,28960,0.005910000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52084,80,0,783088408,0,0,0,0,0,1,0,0,0,0,28416,0.000023000
